Rk,player_id,Player,PlayerName,Race,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
525,willilo02,Lou Williams\willilo02,Lou Williams,Black,PG,34,TOT,66,1423,14,0.519,0.268,0.268,1.7,8.9,5.4,23.4,1.6,0.4,13,25.7,0.5,1.2,1.7,0.056,-1.1,-1.8,-2.9,-0.3,5000000
526,willipa01,Patrick Williams\willipa01,Patrick Williams,#N/A,PF,19,CHI,71,1983,10.5,0.562,0.261,0.237,3.7,14.4,9.1,6.7,1.6,2,14.4,14.9,0.3,2.2,2.5,0.06,-2.7,0,-2.7,-0.3,7422000
527,williro04,Robert Williams\williro04,Robert Williams,#N/A,C,23,BOS,52,985,25.7,0.719,0.008,0.283,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15,3.4,1.9,5.3,0.258,3,3.1,6.1,2,3661976
528,willizi01,Zion Williamson\willizi01,Zion Williamson,Black,PF,20,NOP,61,2026,27.1,0.649,0.033,0.51,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,7.1,1.6,8.7,0.205,5.8,-0.4,5.4,3.8,10733400
529,wilsodj01,D.J. Wilson\wilsodj01,D.J. Wilson,Black/Mixed,PF,24,TOT,35,433,11.5,0.511,0.518,0.149,4.8,23.2,13.7,7.9,1.2,3.3,10.9,19.7,-0.2,0.5,0.3,0.032,-2.8,-0.7,-3.5,-0.2,1789256
530,windldy01,Dylan Windler\windldy01,Dylan Windler,White,SF,24,CLE,31,513,10.8,0.567,0.592,0.208,4.3,19.5,11.7,9.4,1.8,2.1,18.4,14.8,0,0.5,0.5,0.045,-1.8,0.1,-1.7,0,2239200
531,winslju01,Justise Winslow\winslju01,Justise Winslow,Black,SF,24,MEM,26,507,6.2,0.395,0.257,0.167,3.7,21.1,12.3,13.3,1.4,2.1,14.1,21.9,-1.3,0.6,-0.7,-0.066,-6.2,0.1,-6.1,-0.5,16902439
532,winstca01,Cassius Winston\winstca01,Cassius Winston,#N/A,PG,22,WAS,22,98,10.8,0.575,0.515,0.182,0,9.7,4.9,16.3,0.9,0.9,12.3,17.2,0.1,0.1,0.1,0.066,-1.7,-1.3,-3,0,#N/A
533,wisemja01,James Wiseman\wisemja01,James Wiseman,#N/A,C,19,GSW,39,836,13.1,0.552,0.103,0.234,7.1,21.5,14.4,4.9,0.6,3.8,12.9,23.8,-0.4,1.2,0.7,0.042,-4,-1.4,-5.4,-0.7,9166800
534,woodch01,Christian Wood\woodch01,Christian Wood,Black,C,25,HOU,41,1326,20,0.591,0.322,0.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,1.4,1.4,2.8,0.1,1.9,-0.5,1.4,1.2,13666667
535,woodaro01,Robert Woodard\woodaro01,Robert Woodard,#N/A,SF,21,SAC,13,45,12.5,0.425,0.3,0.4,9.7,30,19.7,6.3,0,5.6,4.1,23.4,0,0,0,-0.011,-2.6,-2.7,-5.4,0,1517981
536,wrighde01,Delon Wright\wrighde01,Delon Wright,Black,SG-PG,28,TOT,63,1748,16.3,0.562,0.332,0.243,4.1,13.1,8.6,23,2.8,1.5,12.6,16.3,2.5,1.8,4.3,0.117,0.7,1.3,2,1.7,8526316
537,youngth01,Thaddeus Young\youngth01,Thaddeus Young,Black,PF,32,CHI,68,1652,20.3,0.578,0.068,0.171,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,2.8,2.2,5.1,0.147,2,1.2,3.2,2.2,14190000
538,youngtr01,Trae Young\youngtr01,Trae Young,Black/Mixed,PG,22,ATL,63,2125,23,0.589,0.357,0.491,2,10.5,6.3,45.5,1.2,0.5,16.2,33,5.9,1.3,7.2,0.163,5.4,-1.7,3.6,3,8326471
539,zelleco01,Cody Zeller\zelleco01,Cody Zeller,White,C,28,CHO,48,1005,18.2,0.599,0.086,0.367,12.6,22.9,17.7,13.2,1.3,1.7,11.9,18.3,2.1,1.1,3.3,0.156,-0.2,-0.1,-0.3,0.4,2389641
540,zubaciv01,Ivica Zubac\zubaciv01,Ivica Zubac,White,C,23,LAC,72,1609,19.1,0.693,0.01,0.434,13.6,22.4,18.1,7.9,0.7,3.4,14.7,15.1,4.8,2.1,6.9,0.206,0.7,0,0.7,1.1,7518518
