"Tm","PlayerName","Age","States","Salary"
"LAL","Alex Caruso",26,"California",8604651
"MEM","Kyle Anderson",27,"Tennessee",9937150
"MEM","John Konchar",24,"Tennessee",2197674
"MEM","Grayson Allen",25,"Tennessee",4054695
"MEM","Jaren Jackson Jr.",21,"Tennessee",9180560
"MEM","De'Anthony Melton",22,"Tennessee",8437500
"MEM","Ja Morant",21,"Tennessee",9603360
"MEM","Dillon Brooks",25,"Tennessee",12200000
"MEM","Brandon Clarke",24,"Tennessee",2726880
"MEM","Tyus Jones",24,"Tennessee",7522200
"MEM","Justise Winslow",24,"Tennessee",16902439
"MIA","Dewayne Dedmon",31,"Florida",5256308
"MIA","Max Strus",24,"Florida",1669178
"MIA","Jimmy Butler",31,"Florida",36016200
"MIA","Tyler Herro",21,"Florida",4004280
"MIA","Udonis Haslem",40,"Florida",2641691
"MIA","Andre Iguodala",37,"Florida",17641691
"MIA","Duncan Robinson",26,"Florida",15560000
"MIA","Kendrick Nunn",25,"Florida",5e+06
"MIA","Bam Adebayo",23,"Florida",28103550
"MIA","Gabe Vincent",24,"Florida",1669178
"MIA","Trevor Ariza",35,"Florida",2641691
"MIA","KZ Okpala",21,"Florida",1782621
"MIL","Donte DiVincenzo",24,"Wisconsin",4675830
"MIL","Jrue Holiday",30,"Wisconsin",30133333
"MIL","Thanasis Antetokounmpo",28,"Wisconsin",1729217
"MIL","Khris Middleton",29,"Wisconsin",35500000
"MIL","Pat Connaughton",28,"Wisconsin",5333333
"MIL","Giannis Antetokounmpo",26,"Wisconsin",39344970
"MIL","Brook Lopez",32,"Wisconsin",13302325
"MIL","Bobby Portis",25,"Wisconsin",8151750
"MIL","Bryn Forbes",27,"Wisconsin",4500000
"MIN","Naz Reid",21,"Minnesota",1782621
"MIN","Karl-Anthony Towns",25,"Minnesota",31610000
"MIN","Jarrett Culver",21,"Minnesota",6395160
"MIN","Ricky Rubio",30,"Minnesota",17809524
"MIN","Jordan McLaughlin",24,"Minnesota",1669178
"MIN","Jake Layman",26,"Minnesota",3940184
"MIN","Josh Okogie",22,"Minnesota",4087904
"MIN","Malik Beasley",24,"Minnesota",14391964
"MIN","Jaylen Nowell",21,"Minnesota",1782621
"MIN","Jarred Vanderbilt",21,"Minnesota",4259259
"MIN","D'Angelo Russell",24,"Minnesota",30013500
"NOP","Steven Adams",27,"Louisiana",17073171
"NOP","Zion Williamson",20,"Louisiana",10733400
"NOP","Brandon Ingram",23,"Louisiana",29467800
"NOP","Nickeil Alexander-Walker",22,"Louisiana",3261480
